smiles,Z2
CC1=C(C(C)=NN1)/N=N/C2=C(Cl)C=CC=C2,432.0
CC1=C(C(C)=NN1)/N=N/C2=CC(Cl)=CC=C2,418.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(Cl)C=C2,439.0
CC1=C(C(C)=NN1)/N=N/C2=C(Br)C=CC=C2,431.0
CC1=C(C(C)=NN1)/N=N/C2=CC(Br)=CC=C2,437.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(Br)C=C2,440.0
CC1=C(C(C)=NN1)/N=N/C2=CC(O)=CC=C2,437.0
CC1=C(C(C)=NN1)/N=N/C2=C(C(F)(F)F)C=CC=C2,437.0
CC1=C(C(C)=NN1)/N=N/C2=CC(C(F)(F)F)=CC=C2,436.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(C(F)(F)F)C=C2,436.0
CC1=C(C(C)=NN1)/N=N/C2=C(OC)C=CC=C2,436.0
CC1=C(C(C)=NN1)/N=N/C2=CC(OC)=CC=C2,437.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(OC)C=C2,441.0
CC1=C(C(C)=NN1)/N=N/C2=C(C)C=CC=C2,435.0
CC1=C(C(C)=NN1)/N=N/C2=CC(C)=CC=C2,441.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(C)C=C2,437.0
CC1=C(C(C)=NN1)/N=N/C2=CC(C(O)=O)=CC=C2,435.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(C(O)=O)C=C2,441.0
CC1=C(C(C)=NN1)/N=N/C2=CC(NC(C)=O)=CC=C2,438.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(NC(C)=O)C=C2,445.0
CC1=NOC(C)=C1/N=N/C2=CC=CC=C2,428.0
CC1=NOC(C)=C1/N=N/C2=C(F)C=CC=C2,422.0
CC1=NOC(C)=C1/N=N/C2=CC(F)=CC=C2,428.0
CC1=NOC(C)=C1/N=N/C2=CC=C(F)C=C2,428.0
CC1=NOC(C)=C1/N=N/C2=C(Cl)C=CC=C2,426.0
CC1=NOC(C)=C1/N=N/C2=CC(Cl)=CC=C2,429.0
CC1=NOC(C)=C1/N=N/C2=CC=C(Cl)C=C2,429.0
CC1=NOC(C)=C1/N=N/C2=C(Br)C=CC=C2,428.0
CC1=NOC(C)=C1/N=N/C2=CC(Br)=CC=C2,429.0
CC1=NOC(C)=C1/N=N/C2=CC=C(Br)C=C2,432.0
CC1=NOC(C)=C1/N=N/C2=CC=C(I)C=C2,432.0
CC1=NOC(C)=C1/N=N/C2=CC(O)=CC=C2,432.0
CC1=NOC(C)=C1/N=N/C2=CC(C(F)(F)F)=CC=C2,426.0
CC1=NOC(C)=C1/N=N/C2=CC=C(C(F)(F)F)C=C2,429.0
CC1=NOC(C)=C1/N=N/C2=C(OC)C=CC=C2,426.0
CC1=NOC(C)=C1/N=N/C2=CC(OC)=CC=C2,430.0
CC1=NOC(C)=C1/N=N/C2=CC=C(OC)C=C2,434.0
CC1=NOC(C)=C1/N=N/C2=C([N+]([O-])=O)C=CC=C2,415.0
CC1=NOC(C)=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,436.0
CC1=NOC(C)=C1/N=N/C2=CC=C(C)C=C2,430.0
CC1=NOC(C)=C1/N=N/C2=CC(NC(C)=O)=CC=C2,429.0
CC1=NOC(C)=C1/N=N/C2=CC=C(NC(C)=O)C=C2,437.0
CC1=C(/N=N/C2=C3C=CC=CC3=CC=C2)C(C)=NO1,440.0
CC1=C(/N=N/C2=CC(Cl)=CC=C2Cl)C(C)=NO1,427.0
CC1=C(/N=N/C2=C(Cl)C=CC=C2Cl)C(C)=NO1,421.0
CC1=C(/N=N/C2=CC=C(F)C=C2F)C(C)=NO1,420.0
CC1=C(/N=N/C2=CC(F)=CC=C2F)C(C)=NO1,422.0
CC1=C(/N=N/C2=C(F)C=CC=C2F)C(C)=NO1,419.0
CC1=C(/N=N/C2=CC(F)=CC(F)=C2)C(C)=NO1,429.0
CC1=C(/N=N/C2=CC=CC(N)=C2)C(C)=NO1,428.0
CC1=C(/N=N/C2=CC=CC=C2C#N)C(C)=NO1,434.0
CC1=C(/N=N/C2=CC=CN=C2)C(C)=NO1,429.0
CC1=CC=C(/N=N/C2=CC=CS2)C=C1,450.0
COC(S1)=CC=C1/N=N/C2=CC=CC=C2,400.0
COC(S1)=CC=C1/N=N/C2=CC=C(C#N)C=C2,414.0
CC(S1)=CC=C1/N=N/C2=CC=C(C#N)C=C2,400.0
CC(S1)=CC=C1/N=N/C2=CC=C(C(F)(F)F)C=C2,392.0
N#CC(S1)=CC=C1/N=N/C2=CC=CC=C2,465.0
COC1=CC=C(/N=N/C2=CC=CS2)C=C1,449.0
FC(F)(F)C1=CC=C(/N=N/C2=CC=CS2)C=C1,433.0
COC1=CC(/N=N/C2=CC=CS2)=CC=C1,438.0
N#CC1=CC(/N=N/C2=CC=CS2)=CC=C1,429.0
