smiles,Z1
CC1=NOC(C)=C1/N=N/C2=CC=C(Cl)C=C2,294.0
CC1=NOC(C)=C1/N=N/C2=C(Br)C=CC=C2,310.0
CC1=NOC(C)=C1/N=N/C2=CC(Br)=CC=C2,306.0
CC1=NOC(C)=C1/N=N/C2=CC=C(Br)C=C2,295.0
CC1=NOC(C)=C1/N=N/C2=CC=C(I)C=C2,295.0
CC1=NOC(C)=C1/N=N/C2=CC(O)=CC=C2,288.0
CC1=NOC(C)=C1/N=N/C2=CC(C(F)(F)F)=CC=C2,308.0
CC1=NOC(C)=C1/N=N/C2=CC=C(C(F)(F)F)C=C2,309.0
CC1=NOC(C)=C1/N=N/C2=C(OC)C=CC=C2,285.0
CC1=NOC(C)=C1/N=N/C2=CC(OC)=CC=C2,289.0
CC1=NOC(C)=C1/N=N/C2=CC=C(OC)C=C2,309.0
CC1=NOC(C)=C1/N=N/C2=C([N+]([O-])=O)C=CC=C2,318.0
CC1=NOC(C)=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,295.0
CC1=NOC(C)=C1/N=N/C2=CC=C(C)C=C2,308.0
CC1=NOC(C)=C1/N=N/C2=CC(NC(C)=O)=CC=C2,295.0
CC1=NOC(C)=C1/N=N/C2=CC=C(NC(C)=O)C=C2,315.0
CC1=C(/N=N/C2=C3C=CC=CC3=CC=C2)C(C)=NO1,342.0
CC1=C(/N=N/C2=CC(Cl)=CC=C2Cl)C(C)=NO1,298.0
CC1=C(/N=N/C2=C(Cl)C=CC=C2Cl)C(C)=NO1,292.0
CC1=C(/N=N/C2=CC=C(F)C=C2F)C(C)=NO1,323.0
CC1=C(/N=N/C2=CC(F)=CC=C2F)C(C)=NO1,287.0
CC1=C(/N=N/C2=C(F)C=CC=C2F)C(C)=NO1,305.0
CC1=C(/N=N/C2=CC(F)=CC(F)=C2)C(C)=NO1,297.0
CC1=C(/N=N/C2=CC=CC(N)=C2)C(C)=NO1,290.0
CC1=C(/N=N/C2=CC=CC=C2C#N)C(C)=NO1,304.0
CC1=C(/N=N/C2=CC=CN=C2)C(C)=NO1,311.0
CC1=CC=C(/N=N/C2=CC=CS2)C=C1,285.0
COC(S1)=CC=C1/N=N/C2=CC=CC=C2,345.0
COC(S1)=CC=C1/N=N/C2=CC=C(C#N)C=C2,350.0
CC(S1)=CC=C1/N=N/C2=CC=C(C#N)C=C2,328.0
CC(S1)=CC=C1/N=N/C2=CC=C(C(F)(F)F)C=C2,326.0
N#CC(S1)=CC=C1/N=N/C2=CC=CC=C2,301.0
COC1=CC=C(/N=N/C2=CC=CS2)C=C1,286.0
N#CC1=CC=C(/N=N/C2=CC=CS2)C=C1,290.0
FC(F)(F)C1=CC=C(/N=N/C2=CC=CS2)C=C1,285.0
COC1=CC(/N=N/C2=CC=CS2)=CC=C1,287.0
N#CC1=CC(/N=N/C2=CC=CS2)=CC=C1,288.0
