smiles,E2
CC1=C(C(C)=NN1)/N=N/C2=C(C)C=CC=C2,423.0
CC1=C(C(C)=NN1)/N=N/C2=CC(C)=CC=C2,419.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(C)C=C2,416.0
CC1=C(C(C)=NN1)/N=N/C2=CC(C(O)=O)=CC=C2,419.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(C(O)=O)C=C2,410.0
CC1=C(C(C)=NN1)/N=N/C2=CC(NC(C)=O)=CC=C2,423.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(NC(C)=O)C=C2,410.0
CC1=NOC(C)=C1/N=N/C2=CC=CC=C2,422.0
CC1=NOC(C)=C1/N=N/C2=C(F)C=CC=C2,416.0
CC1=NOC(C)=C1/N=N/C2=CC(F)=CC=C2,421.0
CC1=NOC(C)=C1/N=N/C2=CC=C(F)C=C2,421.0
CC1=NOC(C)=C1/N=N/C2=C(Cl)C=CC=C2,424.0
CC1=NOC(C)=C1/N=N/C2=CC(Cl)=CC=C2,425.0
CC1=NOC(C)=C1/N=N/C2=CC=C(Cl)C=C2,423.0
CC1=NOC(C)=C1/N=N/C2=C(Br)C=CC=C2,428.0
CC1=NOC(C)=C1/N=N/C2=CC(Br)=CC=C2,423.0
CC1=NOC(C)=C1/N=N/C2=CC=C(Br)C=C2,421.0
CC1=NOC(C)=C1/N=N/C2=CC=C(I)C=C2,424.0
CC1=NOC(C)=C1/N=N/C2=CC(O)=CC=C2,418.0
CC1=NOC(C)=C1/N=N/C2=CC(C(F)(F)F)=CC=C2,418.0
CC1=NOC(C)=C1/N=N/C2=CC=C(C(F)(F)F)C=C2,425.0
CC1=NOC(C)=C1/N=N/C2=C(OC)C=CC=C2,414.0
CC1=NOC(C)=C1/N=N/C2=CC(OC)=CC=C2,423.0
CC1=NOC(C)=C1/N=N/C2=CC=C(OC)C=C2,403.0
CC1=NOC(C)=C1/N=N/C2=C([N+]([O-])=O)C=CC=C2,421.0
CC1=NOC(C)=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,431.0
CC1=NOC(C)=C1/N=N/C2=CC=C(C)C=C2,420.0
CC1=NOC(C)=C1/N=N/C2=CC(NC(C)=O)=CC=C2,429.0
CC1=NOC(C)=C1/N=N/C2=CC=C(NC(C)=O)C=C2,416.0
CC1=C(/N=N/C2=C3C=CC=CC3=CC=C2)C(C)=NO1,439.0
CC1=C(/N=N/C2=CC(Cl)=CC=C2Cl)C(C)=NO1,430.0
CC1=C(/N=N/C2=C(Cl)C=CC=C2Cl)C(C)=NO1,429.0
CC1=C(/N=N/C2=CC=C(F)C=C2F)C(C)=NO1,420.0
CC1=C(/N=N/C2=CC(F)=CC=C2F)C(C)=NO1,417.0
CC1=C(/N=N/C2=C(F)C=CC=C2F)C(C)=NO1,419.0
CC1=C(/N=N/C2=CC(F)=CC(F)=C2)C(C)=NO1,417.0
CC1=C(/N=N/C2=CC=CC(N)=C2)C(C)=NO1,373.0
CC1=C(/N=N/C2=CC=CC=C2C#N)C(C)=NO1,431.0
CC1=C(/N=N/C2=CC=CN=C2)C(C)=NO1,421.0
CC1=CC=C(/N=N/C2=CC=CS2)C=C1,450.0
C1(/N=N/C2=CC=CC=C2)=CC=CC=C1,440.0
FC(F)(F)C1=CC=CC=C1/N=N/C2=CC=CC=C2,452.0
CC1=CC=CC=C1/N=N/C2=CC=CC=C2,455.0
BrC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,448.0
FC(F)(F)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,450.0
ClC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,442.0
N#CC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,455.0
O=C(OC)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,467.0
FC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,437.0
OC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,434.0
CC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,445.0
NC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,430.0
O=[N+]([O-])C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,460.0
FC(F)(F)C1=C(/N=N/C2=C(C(F)(F)F)C=CC=C2)C=CC=C1,463.0
ClC1=C(/N=N/C2=C(Cl)C=CC=C2)C=CC=C1,467.0
CC1=CC=CC=C1/N=N/C2=CC=CC=C2C,442.0
CC(C=CC=C1C)=C1/N=N/C2=CC=CC=C2,461.0
BrC1=CC=CC(/N=N/C2=CC=CC(Br)=C2)=C1,435.0
ClC1=CC=CC(/N=N/C2=CC=CC(Cl)=C2)=C1,435.0
FC1=CC=CC(/N=N/C2=CC=CC(F)=C2)=C1,435.0
CC1=CC=CC(/N=N/C2=CC=CC(C)=C2)=C1,447.0
BrC1=CC=C(/N=N/C2=CC=C(Br)C=C2)C=C1,440.0
ClC1=CC=C(/N=N/C2=CC=C(Cl)C=C2)C=C1,444.0
FC(F)(F)C1=CC=C(/N=N/C2=CC=C(C(F)(F)F)C=C2)C=C1,454.0
FC1=CC=C(/N=N/C2=CC=C(F)C=C2)C=C1,432.0
CC1=CC=C(/N=N/C2=CC=C(C)C=C2)C=C1,437.0
CC1=C(/N=N/C2=CC=CC=C2)C(C)=CC(C)=C1,465.0
CC1=C(/N=N/C2=CC=CC(C)=C2C)C=CC=C1C,458.0
CC1=C(/N=N/C2=CC=C(C)C=C2C)C=CC(C)=C1,458.0
CC1=C(/N=N/C2=CC(C)=CC=C2C)C=C(C)C=C1,463.0
CC1=CC(/N=N/C2=CC(C)=C(C)C=C2)=CC=C1C,441.0
CC1=C(Cl)C=CC=C1/N=N/C2=C(C)C(Cl)=CC=C2,461.0
CC1=CC(Cl)=CC=C1/N=N/C2=C(C)C=C(Cl)C=C2,461.0
BrC1=CC(Br)=CC(Br)=C1/N=N/C2=C(Br)C=C(Br)C=C2Br,474.0
CC1=CC(C)=CC(C)=C1/N=N/C2=C(C)C=C(C)C=C2C,465.0
