,Substituents,SMILES,Solvent,PBE0,CAM-B3LYP,Experiment
16,"2,4,6,2′,4′,6′-Me",CC1=CC(C)=CC(C)=C1/N=N/C2=C(C)C=C(C)C=C2C,Alk,344.0,316.0,325
17,"2-OH,5-Me",OC(C=CC(C)=C1)=C1/N=N/C2=CC=CC=C2,Benz,403.0,309.0,330
18,None,C1(/N=N/C2=CC=CC=C2)=CC=CC=C1,CH,339.0,328.0,317
19,4-Br,BrC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,CH,352.0,335.0,326
20,4-Cl,ClC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,CH,348.0,334.0,324
21,4-F,FC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,CH,342.0,330.0,319
22,4-OH,OC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,CH,358.0,346.0,339
23,4-Me,CC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,CH,346.0,335.0,324
24,4-NH2,NC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,CH,383.0,370.0,364
25,4-NHCOMe,CC(NC1=CC=C(/N=N/C2=CC=CC=C2)C=C1)=O,CH,371.0,353.0,346
26,4-NHMe,CNC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,CH,400.0,386.0,380
27,4-NMe2,CN(C)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,CH,408.0,389.0,400
28,"2,2′-Cl",ClC1=C(/N=N/C2=C(Cl)C=CC=C2)C=CC=C1,CH,362.0,344.0,328
29,"2,2′-Me",CC1=CC=CC=C1/N=N/C2=CC=CC=C2C,CH,361.0,348.0,331
30,"3,3′-Cl",ClC1=CC=CC(/N=N/C2=CC=CC(Cl)=C2)=C1,CH,344.0,327.0,318
31,"3,3′-Me",CC1=CC=CC(/N=N/C2=CC=CC(C)=C2)=C1,CH,343.0,332.0,323
32,"4-Cl,4′-NMe2",ClC(C=C1)=CC=C1/N=N/C2=CC=C(N(C)C)C=C2,CH,417.0,397.0,410
33,"4,4′-Cl",ClC1=CC=C(/N=N/C2=CC=C(Cl)C=C2)C=C1,CH,358.0,340.0,331
34,"4,4′-Me",CC1=CC=C(/N=N/C2=CC=C(C)C=C2)C=C1,CH,352.0,340.0,330
35,"4-Me,4′-NMe2",CC(C=C1)=CC=C1/N=N/C2=CC=C(N(C)C)C=C2,CH,409.0,389.0,400
36,"4-NMe2,3′-NO2",CN(C)C(C=C1)=CC=C1/N=N/C2=CC=CC([N+]([O-])=O)=C2,CH,419.0,400.0,420
37,"4-NMe2,4′-NO2",CN(C)C(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,CH,478.0,433.0,446
38,"2,2′-Me,4′-NMe2",CC1=C(/N=N/C2=C(C)C=C(C=C2)N(C)C)C=CC=C1,CH,424.0,406.0,400
39,"2,2′-Me,3,3′-Cl",CC1=C(Cl)C=CC=C1/N=N/C2=C(C)C(Cl)=CC=C2,CH,341.0,325.0,329
40,"2,2′-Me,4,4′-Cl",CC1=CC(Cl)=CC=C1/N=N/C2=C(C)C=C(Cl)C=C2,CH,379.0,360.0,346
41,"2,2′-Me,4-Cl,4′-NMe2",CC1=C(/N=N/C2=CC=C(N(C)C)C=C2C)C=CC(Cl)=C1,CH,433.0,414.0,411
42,"2,2′-Me,4-NO2,4′-NMe2",CC1=C(/N=N/C2=CC=C(N(C)C)C=C2C)C=CC([N+]([O-])=O)=C1,CH,490.0,451.0,452
43,"2,2′-Me,5-NO2,4′-NMe2",CC1=C(/N=N/C2=CC=C(N(C)C)C=C2C)C=C([N+]([O-])=O)C=C1,CH,434.0,417.0,425
44,"2,3,2′,3′-Me",CC1=C(/N=N/C2=CC=CC(C)=C2C)C=CC=C1C,CH,342.0,328.0,332
45,"2,4,2′,4′-Me",CC1=C(/N=N/C2=CC=C(C)C=C2C)C=CC(C)=C1,CH,374.0,360.0,346
46,"2,4,2′-Me,4′-NMe2",CC1=C(/N=N/C2=CC=C(N(C)C)C=C2C)C=CC(C)=C1,CH,426.0,408.0,399
47,"2,5,2′,5′-Me",CC1=C(/N=N/C2=CC(C)=CC=C2C)C=C(C)C=C1,CH,370.0,354.0,336
48,"3,4,3′,4′-Me",CC1=CC(/N=N/C2=CC(C)=C(C)C=C2)=CC=C1C,CH,356.0,343.0,333
49,None,C1(/N=N/C2=CC=CC=C2)=CC=CC=C1,Chl,340.0,325.0,319
50,2-Br,BrC1=CC=CC=C1/N=N/C2=CC=CC=C2,Chl,355.0,333.0,326
51,3-Br,BrC1=CC(/N=N/C2=CC=CC=C2)=CC=C1,Chl,343.0,325.0,323
52,"2,2′-NO2",O=[N+]([O-])C1=C(/N=N/C2=C([N+]([O-])=O)C=CC=C2)C=CC=C1,Chl,354.0,327.0,323
53,"3,3′-Me",CC1=CC=CC(/N=N/C2=CC=CC(C)=C2)=C1,Chl,345.0,330.0,331
54,"3,3′-NO2",O=[N+]([O-])C1=CC=CC(/N=N/C2=CC([N+]([O-])=O)=CC=C2)=C1,Chl,339.0,319.0,311
55,"4,4′-NO2",O=[N+]([O-])C1=CC=C(/N=N/C2=CC=C(C=C2)[N+]([O-])=O)C=C1,Chl,368.0,344.0,335
56,None,C1(/N=N/C2=CC=CC=C2)=CC=CC=C1,EtOH,344.0,324.0,319
57,2-Br,BrC1=CC=CC=C1/N=N/C2=CC=CC=C2,EtOH,357.0,331.0,326
58,2-NH2,NC1=CC=CC=C1/N=N/C2=CC=CC=C2,EtOH,419.0,388.0,421
59,3-Br,BrC1=CC(/N=N/C2=CC=CC=C2)=CC=C1,EtOH,346.0,324.0,321
60,3-NH2,NC1=CC(/N=N/C2=CC=CC=C2)=CC=C1,EtOH,429.0,370.0,417
61,4-Br,BrC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,EtOH,355.0,329.0,329
62,4-Cl,ClC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,EtOH,352.0,328.0,327
63,4-CN,N#CC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,EtOH,356.0,332.0,324
64,4-COMe,CC(C1=CC=C(/N=N/C2=CC=CC=C2)C=C1)=O,EtOH,360.0,335.0,326
65,4-COOMe,O=C(OC)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,EtOH,355.0,331.0,328
66,4-F,FC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,EtOH,346.0,326.0,322
67,4-OH,OC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,EtOH,367.0,345.0,349
68,4-Me,CC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,EtOH,353.0,334.0,330
69,4-NEt2,CCN(CC)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,EtOH,431.0,402.0,416
70,4-NH2,NC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,EtOH,403.0,379.0,385
71,4-NHMe,CNC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,EtOH,422.0,397.0,399
72,4-NMe2,CN(C)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,EtOH,427.0,396.0,407
73,4-NO2,O=[N+]([O-])C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,EtOH,378.0,344.0,333
74,"2,2′-Cl",ClC1=C(/N=N/C2=C(Cl)C=CC=C2)C=CC=C1,EtOH,364.0,338.0,320
75,"2-CN,4′-NEt2",CCN(CC)C(C=C1)=CC=C1/N=N/C2=C(C#N)C=CC=C2,EtOH,453.0,422.0,462
76,"2,2′-Me",CC1=CC=CC=C1/N=N/C2=CC=CC=C2C,EtOH,365.0,343.0,331
77,"2,4-NH2",NC1=C(/N=N/C2=CC=CC=C2)C=CC(N)=C1,EtOH,404.0,384.0,411
78,"2,2′-NO2",O=[N+]([O-])C1=C(/N=N/C2=C([N+]([O-])=O)C=CC=C2)C=CC=C1,EtOH,358.0,329.0,321
79,"3,3′-Br",BrC1=CC=CC(/N=N/C2=CC=CC(Br)=C2)=C1,EtOH,349.0,322.0,320
80,"3,3′-Cl",ClC1=CC=CC(/N=N/C2=CC=CC(Cl)=C2)=C1,EtOH,346.0,322.0,320
81,"3-CN,4′-NEt2",CCN(CC)C1=CC=C(/N=N/C2=CC(C#N)=CC=C2)C=C1,EtOH,444.0,407.0,446
82,"3,3′-F",FC1=CC=CC(/N=N/C2=CC=CC(F)=C2)=C1,EtOH,345.0,322.0,320
83,"3,3′-NO2",O=[N+]([O-])C1=CC=CC(/N=N/C2=CC([N+]([O-])=O)=CC=C2)=C1,EtOH,344.0,318.0,310
84,"4,4′-Br",BrC1=CC=C(/N=N/C2=CC=C(Br)C=C2)C=C1,EtOH,366.0,336.0,324
85,"4-Br,4′-NMe2",BrC(C=C1)=CC=C1/N=N/C2=CC=C(N(C)C)C=C2,EtOH,428.0,404.0,419
86,"4-Cl,4′-NMe2",ClC(C=C1)=CC=C1/N=N/C2=CC=C(N(C)C)C=C2,EtOH,435.0,404.0,416
87,"4-CF3,4′-NMe2",CN(C)C1=CC=C(/N=N/C2=CC=C(C(F)(F)F)C=C2)C=C1,EtOH,443.0,408.0,427
88,"4-CN,4′-NEt2",CCN(CC)C1=CC=C(/N=N/C2=CC=C(C#N)C=C2)C=C1,EtOH,465.0,428.0,466
89,"4-COOMe,4′-NMe2",CN(C)C1=CC=C(/N=N/C2=CC=C(C(OC)=O)C=C2)C=C1,EtOH,457.0,419.0,442
90,"4,4′-F",FC1=CC=C(/N=N/C2=CC=C(F)C=C2)C=C1,EtOH,349.0,327.0,325
91,"4-F,4′-NMe2",FC(C=C1)=CC=C1/N=N/C2=CC=C(N(C)C)C=C2,EtOH,437.0,397.0,407
92,"4,4′-Me",CC1=CC=C(/N=N/C2=CC=C(C)C=C2)C=C1,EtOH,360.0,338.0,334
93,"4-Me,4′-NMe2",CC(C=C1)=CC=C1/N=N/C2=CC=C(N(C)C)C=C2,EtOH,428.0,398.0,407
94,"4-Me,4′-NEt2",CC(C=C1)=CC=C1/N=N/C2=CC=C(N(CC)CC)C=C2,EtOH,432.0,403.0,411
95,"4,4′-NEt2",CCN(CC)C1=CC=C(/N=N/C2=CC=C(N(CC)CC)C=C2)C=C1,EtOH,467.0,434.0,426
96,"4-NEt2,4′-NH2",NC1=CC=C(/N=N/C2=CC=C(N(CC)CC)C=C2)C=C1,EtOH,449.0,418.0,412
97,"4-NEt2,4′-NMe2",CN(C)C1=CC=C(/N=N/C2=CC=C(N(CC)CC)C=C2)C=C1,EtOH,464.0,430.0,420
98,"4-NEt2,4′-NO2",CCN(CC)C(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,EtOH,528.0,458.0,482
99,"4-NEtEtOH,4′-NO2",OCCNC(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,EtOH,532.0,462.0,503
100,"4-NH2,4′-NMe2",NC1=CC=C(/N=N/C2=CC=C(N(C)C)C=C2)C=C1,EtOH,446.0,414.0,410
101,"4-NH2,4′-NO2",NC1=CC=C(/N=N/C2=CC=C([N+]([O-])=O)C=C2)C=C1,EtOH,493.0,435.0,441
102,"4,4′-NMe2",CN(C)C(C=C1)=CC=C1/N=N/C2=CC=C(N(C)C)C=C2,EtOH,461.0,427.0,455
103,"4-NMe2,2′-NO2",CN(C)C(C=C1)=CC=C1/N=N/C2=CC=CC=C2[N+]([O-])=O,EtOH,501.0,434.0,440
104,"4-NMe2,3′-NO2",CN(C)C(C=C1)=CC=C1/N=N/C2=CC=CC([N+]([O-])=O)=C2,EtOH,437.0,406.0,431
105,"4-NMe2,4′-NO2",CN(C)C(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,EtOH,522.0,451.0,473
106,"4,4′-NO2",O=[N+]([O-])C1=CC=C(/N=N/C2=CC=C(C=C2)[N+]([O-])=O)C=C1,EtOH,374.0,345.0,335
107,"4-NO2,4′-OH",OC1=CC=C(/N=N/C2=CC=C(C=C2)[N+]([O-])=O)C=C1,EtOH,427.0,379.0,382
108,"4,4′-OH",OC1=CC=C(/N=N/C2=CC=C(C=C2)O)C=C1,EtOH,382.0,359.0,355
109,"2-OH,3,5-Me",OC1=C(/N=N/C2=CC(C)=CC(C)=C2)C=CC=C1,EtOH,345.0,319.0,332
110,"3,5-Me,4-OH",OC(C=C1)=CC=C1/N=N/C2=CC(C)=CC(C)=C2,EtOH,375.0,350.0,351
111,"4-NEt2,2′,4′-CN",CCN(CC)C(C=C1)=CC=C1/N=N/C2=C(C#N)C=C(C#N)C=C2,EtOH,484.0,453.0,515
112,"4-NEt2,2′,5′-CN",CCN(CC)C(C=C1)=CC=C1/N=N/C2=C(C#N)C=CC(C#N)=C2,EtOH,472.0,437.0,495
113,"4-NEt2,2′,6′-CN",CCN(CC)C(C=C1)=CC=C1/N=N/C2=C(C#N)C=CC=C2C#N,EtOH,465.0,431.0,503
114,"4-NEt2,3′,4′-CN",CCN(CC)C(C=C1)=CC=C1/N=N/C2=CC(C#N)=C(C#N)C=C2,EtOH,496.0,447.0,500
115,"4-NEt2,3′,5′-CN",CCN(CC)C(C=C1)=CC=C1/N=N/C2=CC(C#N)=CC(C#N)=C2,EtOH,459.0,422.0,478
116,"4-NEt2,2′,4′,6′-CN",CC1=CC(N(CC)CC)=CC=C1/N=N/C2=C(C#N)C=C(C#N)C=C2C#N,EtOH,496.0,483.0,562
117,"2,4,6,2′,4′,6′-Br",BrC1=CC(Br)=CC(Br)=C1/N=N/C2=C(Br)C=C(Br)C=C2Br,EtOH,328.0,298.0,302
118,"3,5,3′,5′-Me,4-NMe2,4′-NO2",CC1=C([N+]([O-])=O)C(C)=CC(/N=N/C2=CC(C)=C(N(C)C)C(C)=C2)=C1,EtOH,524.0,432.0,382
119,4-OH,OC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,MeOH,368.0,345.0,347
120,4-Maleinanil,O=C1C=CC(N1C2=CC=C(/N=N/C3=CC=CC=C3)C=C2)=O,MeOH,356.0,332.0,329
121,4-NH2,NC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,MeOH,403.0,379.0,386
122,4-NMe2,CN(C)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,MeOH,427.0,397.0,408
123,4-NHPh,C1(NC2=CC=CC=C2)=CC=C(/N=N/C3=CC=CC=C3)C=C1,MeOH,439.0,397.0,411
124,"2-COOH,4′-NMe2",CN(C)C(C=C1)=CC=C1/N=N/C2=C(C(O)=O)C=CC=C2,MeOH,465.0,434.0,410
125,"2,4-OH",OC(C=C(O)C=C1)=C1/N=N/C2=CC=CC=C2,MeOH,382.0,360.0,400
126,"4-NEtEtCN,4′-NO2",O=[N+]([O-])C1=CC=C(/N=N/C2=CC=C(NCCC#N)C=C2)C=C1,MeOH,511.0,448.0,455
127,"3-COOH,4-OH,4′-NO2",OC1=C(C(O)=O)C=C(/N=N/C2=CC=C([N+]([O-])=O)C=C2)C=C1,MeOH,397.0,360.0,385
128,"4-NO2,2′,4′-OH",OC1=C(/N=N/C2=CC=C([N+]([O-])=O)C=C2)C=CC(O)=C1,MeOH,436.0,395.0,432
129,None,C1(/N=N/C2=CC=CC=C2)=CC=CC=C1,Wat,344.0,324.0,321
130,3-Me,CC1=CC(/N=N/C2=CC=CC=C2)=CC=C1,Wat,347.0,326.0,322
131,3-NO2,O=[N+]([O-])C1=CC(/N=N/C2=CC=CC=C2)=CC=C1,Wat,340.0,322.0,327
132,4-Br,BrC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,Wat,355.0,330.0,328
133,4-CN,N#CC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,Wat,356.0,331.0,325
134,4-Me,CC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,Wat,355.0,333.0,331
135,4-NO2,O=[N+]([O-])C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,Wat,378.0,344.0,334
136,"4-NHPh, 4′-NO2",O=[N+]([O-])C(C=C1)=CC=C1/N=N/C2=CC=C(NC3=CC=CC=C3)C=C2,Wat,536.0,452.0,483
137,"2-OH,5-Me,4′-NHCOMe",OC1=C(/N=N/C2=CC=C(NC(C)=O)C=C2)C=C(C)C=C1,Wat,417.0,379.0,357
138,"2-OH,3,5-NO2,2′-OH,5′-Me",OC1=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C1/N=N/C2=C(O)C=CC(C)=C2,Wat,476.0,384.0,400
139,"2-OH,3,5-NO2,2′-OH,3′-NHCOMe,5′-Me",OC(C([N+]([O-])=O)=CC([N+]([O-])=O)=C1)=C1/N=N/C2=CC(C)=CC(NC(C)=O)=C2O,Wat,478.0,402.0,400
140,"2-OH,3,5-NO2,2′,4′-NH2,5′-Cl",OC(C([N+]([O-])=O)=CC([N+]([O-])=O)=C1)=C1/N=N/C2=CC(Cl)=C(N)C=C2N,Wat,525.0,460.0,492
141,"4,4'-morpholine",[H]C1=C(N2CCOCC2)C=CC(/N=N/C3=CC=C(N4CCOCC4)C([H])=C3)=C1,Alk,,,402
142,"4,4'-piperidine",[H]C5=C(N6CCCCC6)C=CC(/N=N/C7=CC=C(N8CCCCC8)C([H])=C7)=C5,Alk,,,410
143,"4,4'-pyrrolidine",[H]C9=C(N%10CCCC%10)C=CC(/N=N/C%11=CC=C(N%12CCCC%12)C([H])=C%11)=C9,Alk,,,431
144,"4,4'-pyrrolidine,5,5'-Me",CC%13=C(N%14CCCC%14)C=CC(/N=N/C%15=CC=C(N%16CCCC%16)C(C)=C%15)=C%13,Alk,,,406
145,"4,4'-pyrrolidine,5,5'-OMe",COC%17=CC(/N=N/C%18=CC(OC)=C(N%19CCCC%19)C=C%18)=CC=C%17N%20CCCC%20,Alk,,,452
146,4-NEt2 4'-morpholine,CCN(CC)C(C=C%21)=CC=C%21/N=N/C%22=CC=C(N%23CCOCC%23)C([H])=C%22,Alk,,,417
147,4-NEt2 4'-piperidine,CCN(CC)C(C=C%24)=CC=C%24/N=N/C%25=CC=C(N%26CCCCC%26)C([H])=C%25,Alk,,,420
148,"4-NEt2 4'-morpholine,5'-Me",CCN(CC)C(C=C%27)=CC=C%27/N=N/C%28=CC=C(N%29CCOCC%29)C(C)=C%28,Alk,,,412
149,"4-NEt2 4'-morpholine,5'-OMe",CCN(CC)C(C=C%30)=CC=C%30/N=N/C%31=CC=C(N%32CCOCC%32)C(OC)=C%31,Alk,,,422
150,"4-NO2,2'-OMe,4'-NEt2",[H]C1=CC([N+]([O-])=O)=CC([H])=C1/N=N/C2=CC([H])=C(C=C2OC)N(CC)CC,CH,,,416
151,"4-NO2,2'-OMe,4'-NH2",NC1=C(OC)C=C(/N=N/C2=C([H])C=C([N+]([O-])=O)C=C2[H])C([H])=C1,CH,,,430
152,"4-NO2,2'-OMe,4'-NEt2",[H]C1=CC([N+]([O-])=O)=CC([H])=C1/N=N/C2=CC([H])=C(C=C2OC)N(CC)CC,EtOH,,,501
153,"4-NO2,2'-OMe,4'-NH2",NC1=C(OC)C=C(/N=N/C2=C([H])C=C([N+]([O-])=O)C=C2[H])C([H])=C1,EtOH,,,488
154,,[H]C1=CC([N+]([O-])=O)=CC([H])=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,EtOH,,,489
155,,[H]C1=CC([N+]([O-])=O)=CC(Cl)=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,EtOH,,,512
156,,[H]C1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,EtOH,,,532
157,,[H]C1=CC([N+]([O-])=O)=CC(C#N)=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,EtOH,,,542
158,,BrC1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,EtOH,,,540
159,,ClC1=CC([N+]([O-])=O)=CC(C#N)=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,EtOH,,,551
160,,[H]C1=C(C=C([H])C(/N=N/C2=C(C#N)C=C([N+]([O-])=O)C=C2C#N)=C1)N(CC)CC,EtOH,,,592
161,,[H]C1=CC([N+]([O-])=O)=CC([H])=C1/N=N/C2=CC([H])=C(C=C2OC)N(CC)CC,EtOH,,,505
162,,[H]C3=CC([N+]([O-])=O)=CC(Cl)=C3/N=N/C4=CC([H])=C(C=C4OC)N(CC)CC,EtOH,,,526
163,,[H]C5=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C5/N=N/C6=CC([H])=C(C=C6OC)N(CC)CC,EtOH,,,545
164,,[H]C7=CC([N+]([O-])=O)=CC(C#N)=C7/N=N/C8=CC([H])=C(C=C8OC)N(CC)CC,EtOH,,,555
165,,BrC9=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C9/N=N/C%10=CC([H])=C(C=C%10OC)N(CC)CC,EtOH,,,554
166,,ClC%11=CC([N+]([O-])=O)=CC(C#N)=C%11/N=N/C%12=CC([H])=C(C=C%12OC)N(CC)CC,EtOH,,,565
167,,[H]C%13=C(C=C(OC)C(/N=N/C%14=C(C#N)C=C([N+]([O-])=O)C=C%14C#N)=C%13)N(CC)CC,EtOH,,,601
168,,[H]C1=CC([N+]([O-])=O)=CC([H])=C1/N=N/C2=CC(OC)=C(C=C2)N(CC)CC,EtOH,,,492
169,,[H]C3=CC([N+]([O-])=O)=CC(Cl)=C3/N=N/C4=CC(OC)=C(C=C4)N(CC)CC,EtOH,,,518
170,,[H]C5=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C5/N=N/C6=CC(OC)=C(C=C6)N(CC)CC,EtOH,,,540
171,,[H]C7=CC([N+]([O-])=O)=CC(C#N)=C7/N=N/C8=CC(OC)=C(C=C8)N(CC)CC,EtOH,,,555
172,,BrC9=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C9/N=N/C%10=CC(OC)=C(C=C%10)N(CC)CC,EtOH,,,549
173,,ClC%11=CC([N+]([O-])=O)=CC(C#N)=C%11/N=N/C%12=CC(OC)=C(C=C%12)N(CC)CC,EtOH,,,573
174,,CCN(C%13=C(OC)C=C(/N=N/C%14=C(C#N)C=C([N+]([O-])=O)C=C%14C#N)C=C%13)CC,EtOH,,,623
175,,[H]C1=CC([N+]([O-])=O)=CC([H])=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,toluene,,,479
176,,[H]C1=CC([N+]([O-])=O)=CC(Cl)=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,toluene,,,502
177,,[H]C1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,toluene,,,522
178,,[H]C1=CC([N+]([O-])=O)=CC(C#N)=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,toluene,,,530
179,,BrC1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,toluene,,,526
180,,ClC1=CC([N+]([O-])=O)=CC(C#N)=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,toluene,,,534
181,,[H]C1=C(C=C([H])C(/N=N/C2=C(C#N)C=C([N+]([O-])=O)C=C2C#N)=C1)N(CC)CC,toluene,,,577
182,,[H]C1=CC([N+]([O-])=O)=CC([H])=C1/N=N/C2=CC([H])=C(C=C2OC)N(CC)CC,toluene,,,485
183,,[H]C3=CC([N+]([O-])=O)=CC(Cl)=C3/N=N/C4=CC([H])=C(C=C4OC)N(CC)CC,toluene,,,508
184,,[H]C5=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C5/N=N/C6=CC([H])=C(C=C6OC)N(CC)CC,toluene,,,528
185,,[H]C7=CC([N+]([O-])=O)=CC(C#N)=C7/N=N/C8=CC([H])=C(C=C8OC)N(CC)CC,toluene,,,537
186,,BrC9=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C9/N=N/C%10=CC([H])=C(C=C%10OC)N(CC)CC,toluene,,,533
187,,ClC%11=CC([N+]([O-])=O)=CC(C#N)=C%11/N=N/C%12=CC([H])=C(C=C%12OC)N(CC)CC,toluene,,,542
188,,[H]C%13=C(C=C(OC)C(/N=N/C%14=C(C#N)C=C([N+]([O-])=O)C=C%14C#N)=C%13)N(CC)CC,toluene,,,582
189,,[H]C1=CC([N+]([O-])=O)=CC([H])=C1/N=N/C2=CC(OC)=C(C=C2)N(CC)CC,toluene,,,490
190,,[H]C3=CC([N+]([O-])=O)=CC(Cl)=C3/N=N/C4=CC(OC)=C(C=C4)N(CC)CC,toluene,,,514
191,,[H]C5=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C5/N=N/C6=CC(OC)=C(C=C6)N(CC)CC,toluene,,,535
192,,[H]C7=CC([N+]([O-])=O)=CC(C#N)=C7/N=N/C8=CC(OC)=C(C=C8)N(CC)CC,toluene,,,548
193,,BrC9=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C9/N=N/C%10=CC(OC)=C(C=C%10)N(CC)CC,toluene,,,540
194,,ClC%11=CC([N+]([O-])=O)=CC(C#N)=C%11/N=N/C%12=CC(OC)=C(C=C%12)N(CC)CC,toluene,,,559
195,,CCN(C%13=C(OC)C=C(/N=N/C%14=C(C#N)C=C([N+]([O-])=O)C=C%14C#N)C=C%13)CC,toluene,,,614
196,"2-Me,4-NEtEtCN(EtEtOH)",CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=CC=C2,EtOH,,,403
197,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=CC=C2[N+]([O-])=O,EtOH,,,429
198,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=CC([N+]([O-])=O)=C2,EtOH,,,424
199,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,EtOH,,,461
200,,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=CC=C2Br,EtOH,,,417
