SMILES,Experiment,DFT,Solvent
Oc1cc2c(cc1O)oc1c(c2=O)c(O)c(c(c1)O)O,306,254,NaN
C(CC(=O)c1c(O)cc(cc1O)O)CC=C(C)C,270.3,240,NaN
COc1cc(cc(c1OC)OC)c1oncc1c1ccc(c(c1)O)OC,270.5,931,NaN
COc1ccc2c(c1)c(CC(=O)OCC(=O)Nc1ccc3c(c1)OCO3)c(n2C(=O)c1ccc(cc1)Cl)C,279.7,210,NaN
COc1ccc2c(c1)c(CC(=O)OCC(=O)Nc1ccsc1C(=O)OC)c(n2C(=O)c1ccc(cc1)Cl)C,279.1,220,NaN
COc1ccc2c(c1)c(CC(=O)OCC(=O)NCc1ccccc1)c(n2C(=O)c1ccc(cc1)Cl)C,272.5,210,NaN
COc1ccc2c(c1)c(CC(=O)OCC(=O)N1CCSCC1)c(n2C(=O)c1ccc(cc1)Cl)C,280.8,210,NaN
C=CC[C@H](C(=O)OCc1ccccc1)C[C@@H](C(=O)OCc1ccccc1)NC(=O)OC(C)(C)C,230,254,NaN
O=C(CC[C@@](C(=O)OCc1ccccc1)(NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)OCc1ccccc1)C)OCc1ccccc1,233.7,254,NaN
O=C(N[C@H](C(=O)O)CCC(=O)O)CC[C@H](N(C(=O)c1ccc(cc1)N(C1CCc2c1cc1c(c2)nc([nH]c1=O)N)C)[2H])C(=O)O,277.5,2000,NaN
c1ccc(cc1)C=Cc1ccc2c(n1)cccc2,290.9,800,NaN
Cc1ccc2c(n1)c(O)c(cc2)C(=O)NCc1ccccc1,303.8,800,NaN
CCn1c(N)c(N)c(=O)n(c1=O)CC,229.2,254,NaN
c1ccc2c(c1)c(c[nH]2)C1NCCc2c1[nH]c1c2cccc1,266.5,254,NaN
COc1ccc2c(c1)[nH]c1c2cc2c(c1C)sc(c2C)C,295.6,254,NaN
Clc1nnc(c(c1)N1CCN(CC1)CCOc1ccc(cc1)n1cnnc1)Cl,316.4,254,NaN
O=C(OC1CC2C(C1(C)CC2)(C)C)C=Cc1cc(O)c(c(c1)O)O,276.5,933,NaN
COC(=O)C(NC(=O)C(CC(=O)O)N)Cc1ccccc1,233.3,257,NaN
OC[C@@H]([C@@H](Cc1ccc(c(c1)OC)O)CO)Cc1ccc(c(c1)OC)O,254.4,225,NaN
COc1cc(ccc1O)[C@H]1OC[C@H]2[C@@H]1CO[C@@H]2c1ccc(c(c1)OC)O,248.6,225,NaN
O=C(c1cc(NCc2c(C)cccc2C)c2c(n1)c(C)c([nH]2)C)N(C)C,267.3,254,NaN
Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,251.4,280,NaN
CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C,NaN,345,NaN
O=CC=C(CCC=C(C)C)C,NaN,245,NaN
[O-][N+](=O)*,NaN,254,NaN
CNCC(CC12CCC(c3c1cccc3)c1c2cccc1)O,237,254,NaN
OC[C@H]1OC([C@@H]([C@@]1(O)C#C[2H])O)n1cc(O)c(=O)[nH]c1=O,258.2,279,NaN
C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(Cl)c(=O)[nH]c1=O)[2H],246,276,NaN
C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(Br)c(=O)[nH]c1=O)[2H],251.7,278,NaN
C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(I)c(=O)[nH]c1=O)[2H],266,287,NaN
C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1ncc(=O)[nH]c1=O)[2H],271.2,256,NaN
OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cc(O)c(=O)[nH]c1=O,258.2,280,NaN
OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ncc(=O)[nH]c1=O,271.6,257,NaN
OB(c1cccc(c1)[N+](=O)[O-])O,316.1,340,NaN
B,NaN,438,NaN
C,NaN,436,NaN
Oc1ccc(cc1)c1n[nH]c(c1)c1cccc(c1)O,255.9,254,NaN
Oc1cccc(c1)c1ccnc(c1)c1cccs1,274.5,254,NaN
Cc1cc2c(n1c1ccccc1)CCc1c2[nH]c(=O)c(c1)S(=O)(=O)c1ccccc1,328.5,421.3,NaN
Cc1cc2c(n1c1ccccc1)CCc1c2[nH]c(=O)c(c1)C(=O)c1ccccc1,344.2,441.5,NaN
N#Cc1cc2CCc3c(c2[nH]c1=O)cc(n3c1ccccc1)C,335.9,331.6,NaN
CCOC(=O)c1cc2CCc3c(c2[nH]c1=O)cc(n3c1ccccc1)C,336.1,423,NaN
Cn1c(C)cc2c1CCc1c2[nH]c(=O)c(c1)S(=O)(=O)c1ccccc1,326.7,423.1,NaN
O=C(c1cc2CCc3c(c2[nH]c1=O)cc(n3C)C)c1ccccc1,342.4,445.2,NaN
Cc1cc2c(n1Cc1ccccc1)CCc1c2[nH]c(=O)c(c1)S(=O)(=O)c1ccccc1,328.1,421.2,NaN
O=c1[nH]c2c(cc1C(=O)c1ccccc1)CCc1c2ccn1Cc1ccccc1,343.8,442.7,NaN
Cc1[nH]c2c(c1)c1[nH]c(=O)cc(c1cc2)C,287.1,337.1,NaN
Cc1cnc(nc1O[Si](C)(C)C)O[Si](C)(C)C,243.1,250,NaN
S=C=Nc1ccc2c(c1)C(=O)OC12c2ccc(cc2Oc2c1ccc(c2)O)O,258.6,280,NaN
F,NaN,470,NaN
CCc1cc(=O)c2c(o1)ccc(c2)O,287.2,328,NaN
CCCc1cc(=O)c2c(o1)ccc(c2)O,286,328,NaN
Oc1ccc2c(c1)c(=O)cc(o2)C(C)C,286.6,328,NaN
CC(Cc1cc(=O)c2c(o1)ccc(c2)O)C,286.9,328,NaN
Oc1ccc2c(c1)c(=O)cc(o2)C(C)(C)C,287.1,328,NaN
Cc1cc(=O)c2c(o1)ccc(c2)O,287.1,328,NaN
CCCc1cc(=O)c2c(o1)cc(cc2)O,283.1,292,NaN
Oc1ccc2c(c1)oc(cc2=O)C(C)C,283.2,295,NaN
CC(Cc1cc(=O)c2c(o1)cc(cc2)O)C,283.7,292,NaN
Oc1ccc2c(c1)oc(cc2=O)C(C)(C)C,283.4,295,NaN
Cc1cc(=O)c2c(o1)cc(cc2)O,283.6,247,NaN
O=c1cc(oc2c1cc1OCOc1c2)C(C)(C)C,279.6,319,NaN
CC(Cc1cc(=O)c2c(o1)cc1c(c2)OCO1)C,279.7,319,NaN
Brc1ccc2c(c1)ccn2C,269.7,254,NaN
Clc1ccc2c(c1)cc([nH]2)C(=O)NCCOCCOCCNC(=O)c1cc2c([nH]1)ccc(c2)Cl,280,383,NaN
OC(=O)CCc1c2Cc3[nH]c(c(c3C)CCC(=O)O)Cc3[nH]c(Cc4[nH]c(Cc(c1C)[nH]2)c(CCC(=O)O)c4C)c(c3CCC(=O)O)C,237.1,377,NaN
ClC[C@H](Cl)C,NaN,364,NaN
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)Cl,290.8,330,chloroform
N#Cc1ccc(nc1)c1ccc(cc1)F,270.5,329,chloroform
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)F,286.3,329,chloroform
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)C,289.3,332.5,chloroform
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccc(cc1)OC,293.3,311,chloroform
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1cccs1,299.3,331,chloroform
CCOc1nc(cc(c1C#N)c1ccc(cc1)N1CCOCC1)c1ccco1,294.7,329.5,chloroform
CCOc1nc2c(c(c1C#N)c1ccc(cc1)N1CCOCC1)Cc1c2cccc1,292.2,331,chloroform
CCOc1nc2c(c(c1C#N)c1ccc(cc1)N1CCOCC1)CSc1c2cccc1,313.3,240,chloroform
[Fe],NaN,0,NaN
OCc1cc(=O)oc2c1cc(Br)c(c2)O,282.9,366,NaN
OCCNCCNc1ccc(c2c1c(O)c1c(O)ccc(c1c2O)O)NCCNCCO,456.3,721.5,NaN
ClC(=O)OC(Cl)(Cl)Cl,NaN,345,NaN
OCC1OC(CC1O)n1cc(C)c(=O)[nH]c1=O,NaN,349,NaN
COc1cc2c(cc1O)CC1c3c2c(OC)c(O)cc3CCN1C,280,0,NaN
N1CCN(CC1)c1ccccc1,267.1,210,NaN
OCCOCCOCCOCCOCCO,NaN,0,poly(ethylene glycol)s
N[C@H](C(=O)NCCOCCOCCNC(=O)c1ccc(cc1)S(=O)(=O)N)Cc1ccccc1,252.1,0,poly(ethylene glycol)s
CS(=O)C(Cc1ccc2c(c1)OCO2)C,257,210,NaN
OC(=O)CI,NaN,529,NaN
COc1ccc(cc1I)c1nc2c([nH]1)cc(cc2)c1nc2c([nH]1)cc(cc2)N1CCN(CC1)C,315.2,544.5,NaN
Clc1ccc(s1)c1onc(c1)Cn1c(cc2c1cccc2)C(=O)NC1CCN(CC1)C(C)C,280.2,554.5,NaN
N#Cc1c(C(=O)NC2CCN(CC2)C(C)C)n(c2c1cccc2C)Cc1noc(c1)c1ccc(s1)Cl,280.9,576.5,NaN
CC(CC(=O)O)C,NaN,617,NaN
O=C1c2cc3C(=O)C=CC(=O)c3cc2[C@]2(c3c1occ3C(=O)CC2)C,378.4,930,NaN
COc1cc(cc(c1OC)OC)C(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,320.8,411,NaN
O=C1OCC(=C1)[C@@H]1CC[C@]2([C@]1(C)CC[C@H]1[C@H]2CC[C@H]2[C@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O)O,NaN,220,NaN
O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@]1(O)CC[C@@H]2C1=CC(=O)OC1)C)C,NaN,220,NaN
CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CCCC2=CC=C1C[C@@H](O)CCC1=C)C)C,NaN,265,NaN
CCOC(=O)C(Oc1ccc(cc1)Cl)(C)C,252.9,278,NaN
CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C)C,NaN,220,NaN
c1ccc(c(c1)c1cc2c([nH]1)cccc2)c1cc2c([nH]1)cccc2,285.8,293,NaN
COc1ccc(cc1)CC(=O)c1ccc(cc1O)O,275.9,254,NaN
CCN(c1ccc(c(c1)OCOc1cc(ccc1C=C(C#N)C#N)N(CC)CC)C=C1C([N+](=O)[O-])c2c(C1[N+](=O)[O-])cccc2)CC,314.3,602,NaN
NCC[C@@H]([C@H](CCC(=O)O)CN)CC(=O)O,NaN,532,NaN
Cc1cccc(c1)CNC(=O)c1ncnc(c1)C(=O)NCc1cccc(c1)C,300.1,532,NaN
O=C(c1ncnc(c1)C(=O)NCc1ccc(c(c1)C)F)NCc1ccc(c(c1)C)F,300.3,532,NaN
NC(=N)c1ccc(cc1)OCOc1ccc(cc1)C(=N)N,242.8,650,Methanol
c1ccc(cc1)c1ccc(cc1)c1ccccc1,264.2,279,NaN
c1csc(c1)c1sccc1c1cccs1,272.9,350,NaN
S1CC=CC=C1,NaN,349,NaN
c1ccc(nc1)c1[nH]ncc1c1ccnc2c1cccc2,284.2,347,NaN
SCc1cccnc1,253,325,NaN
COc1ccc2c(c1)[nH]c(n2)S(=O)Cc1ncc(c(c1C)OC)C,262.1,302,NaN
OC(c1cc(Cl)c(c(c1)Cl)N)CNC(C)(C)C.[Cl-].[H+],NaN,298,NaN
O=C1C(CCc2c1c1ccccc1n2C)Cn1ccnc1C.O.O.[Cl-].[H+],NaN,305,NaN
CCN(c1ccc(cc1)N=Nc1ncc(s1)C=Cc1sc2c([n+]1CC)cccc2)CC.[I-],NaN,690,MeOH
c1ccc(cc1)C=Cc1ccc(cc1c1cc(ccc1C=Cc1ccccc1)C=Cc1ccccc1)C=Cc1ccccc1,334.6,360,NaN
Oc1ccccc1c1nc2c(s1)cccc2,297.3,333,Ethanol
Fc1ccc2c(c1)sc(n2)c1ccccc1OCc1ccccc1,280.8,322,Ethanol
O=c1[nH]c(=O)n(cc1F)C1CCCO1,240.8,205,NaN
N#CC1=C(N)Oc2c(C1)c(=O)oc1c2cccc1,286.5,254,NaN
CN(c1ccc(cc1)N(C)C)C,289.3,0,NaN
CN(c1c(C)c(C)c(c(c1C)C)N(C)C)C,NaN,264,NaN
C1CN2CCCC3=C2C(C1)C1CCCN2C1=C3C=CC2,NaN,0,NaN
Nc1ccc(cc1)N,285,0,NaN
Cc1c(N)c(C)c(c(c1C)N)C,NaN,0,NaN
C=Cc1ccccc1,250.3,254,NaN
[O-][N+](=O)c1cc(cc(c1NN(c1ccccc1)c1ccccc1)[N+](=O)[O-])[N+](=O)[O-],352.8,1100,NaN
N#CC(c1ccccc1)NC(Cc1ccccc1)C,231.5,495,Ethanol
POS,NaN,427,NaN
CCCCCC[n+]1c(C=Cc2cnc(s2)N=Nc2ccc(cc2)N(CC)CC)sc2c1cccc2.[I-],NaN,693,MeOH
CCN(c1ccc(cc1)N=Nc1ncc(s1)C=Cc1sc2c([n+]1CC)cc(cc2)I)CC.[I-],NaN,708,MeOH
CCN(c1ccc(cc1)N=Nc1ncc(s1)C=Cc1sc2c([n+]1CC)ccc(c2)I)CC.[I-],NaN,711,MeOH
CCN(c1ccc(cc1)N=Nc1ncc([se]1)C=Cc1sc2c([n+]1CC)cccc2)CC.[I-],NaN,693,MeOH
CCN(c1ccc(cc1)N=Nc1ncc(s1)C=CC1=[N+](CC)c2c(C1(C)C)cccc2)CC.[I-],NaN,729,MeOH
CCN(c1ccc(cc1)N=Nc1ncc(s1)C=Cc1ccc2c([n+]1CC)cccc2)CC.[I-],NaN,657,MeOH
CCN(c1ccc(cc1)N=Nc1ncc(s1)C=Cc1cc[n+](c2c1cccc2)CC)CC.[I-],NaN,648,MeOH
[CH-]1C=CC=C1.[CH-]1C=CC=C1.c1ccc(cc1)N=Nc1ccccc1.[Fe+2],NaN,365,NaN
O=CN(C)C,NaN,469,DMSO
[O-][N+](=O)C1=NC(N=N1)(C(=O)[O-])[N+](=O)[O-].OCC[n+]1ccn(c1)C,NaN,226,NaN
O=C1N=NC(N1)(C(=O)[O-])[N+](=O)[O-].OCC[n+]1ccn(c1)C,NaN,230,NaN
[O-]C(=O)C1(N=NN=N1)[N+](=O)[O-].OCC[n+]1ccn(c1)C,NaN,221,NaN
[O-][N+](=O)C1=NC(N=N1)(C(=O)[O-])[N+](=O)[O-].[O-][N+](=O)OCCn1cc[n+](c1)C,NaN,225,NaN
O=C1N=NC(N1)(C(=O)[O-])[N+](=O)[O-].[O-][N+](=O)OCCn1cc[n+](c1)C,NaN,225,NaN
[O-]C(=O)C1(N=NN=N1)[N+](=O)[O-].[O-][N+](=O)OCCn1cc[n+](c1)C,NaN,217,NaN
NN=CN=N,NaN,491,CH2Cl2
NC(=N)c1ccc(cc1)OCCOCCOc1ccc(cc1)C(=N)N,250,327,NaN
O=C(c1cccc(c1O)O)c1ccccc1,312.7,327,NaN
COC(=O)C1=C(C)NC2=C(C1c1ccccc1Cl)C(=O)C(CC2)(C)C,313.3,367,methanol
COC(=O)C1=C(C)NC2=C(C1c1cccc(c1)Cl)C(=O)C(CC2)(C)C,308.7,362,methanol
COC(=O)C1=C(C)NC2=C(C1c1cccc(c1Cl)Cl)C(=O)C(CC2)(C)C,312.9,367,methanol
Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccccc1,280.3,0,NaN
OCc1ccc(o1)c1nn(c2c1cccc2)Cc1ccccc1,293.2,0,NaN
[O-][N+](=O)c1ccccc1C,318.5,1000,NaN
c1ccc2c(c1)NCC2,265.4,409,NaN
OC(=O)C=Cc1ccccc1,261.2,215,NaN
OC(=O)c1cc(O)c(c(c1)O)O,265.1,226,NaN
COc1cc(ccc1O)C(=O)O,259.6,261,NaN
OC(=O)C=Cc1ccc(cc1)O,268.8,230,NaN
COc1cc(C=CC(=O)O)ccc1O,NaN,235,NaN
Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O,283.8,224,NaN
Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,288.4,253,NaN
OCCc1ccc(cc1)O,246.2,225,NaN
OC(=O)COc1cc2cc(oc2cc1N(CC(=O)O)CC(=O)O)c1ncc(o1)C(=O)O,301.9,369,NaN
CNc1ccccc1,260.3,260,hexane
Nc1ccccc1,254,243,hexane
CF,NaN,277,Cyclohexane
OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F,300.7,287,Cyclohexane
OC(=O)c1ccccc1C(=O)Nc1cccc2c1cccc2,300.2,285,Cyclohexane
OCCNCCO,NaN,455,NaN
COC(=O)[C@@H](N1N=NC(C1)(C)O[C@@H]1[C@@H](CO)O[C@H]([C@@H]([C@H]1OC1(C)N=NN(C1)[C@H](C(=O)OC)Cc1ccccc1)O)c1cc(OC)c2c(c1OC)cccc2)Cc1ccccc1,NaN,211,NaN
C[Si](N1CCCC1)(C)C,NaN,445,NaN
CN([Si](C)(C)C)C,NaN,435,NaN
CCCNCCC,NaN,445,NaN
CCN(CC)CC,NaN,444,NaN
CN1CCCCC1,NaN,435,NaN
C[Si](N[Si](C)(C)C)(C)C,NaN,440,NaN
CN([Si](C)(C)C)[Si](C)(C)C,NaN,440,NaN
P,NaN,440,NaN
OC(=O)Cc1ccc(cc1)[N+](=O)[O-],316,545,NaN
Oc1ccc(cc1)[N+](=O)[O-],312.2,547,NaN
S,NaN,503.2,NaN
Nc1ccc(cc1)[N+](=O)[O-],311.7,545,NaN
c1ccc2c(c1)Oc1c(C2)c2ccccc2cc1,296.9,254,NaN
N#CC(=CC1CC(c2c1cccc2)C=C(C#N)C#N)C#N,246.3,0,NaN
O=C(c1ccccc1)c1ccccc1,305,526,EtOAc
Brc1ccc(cc1)c1ccc(cc1)c1ccccc1,267.8,461,EtOAc
CCOc1ccccc1C(=O)C(=O)c1ccccc1OCC,318.3,476,EtOAc
c1ccc2c(c1)cccc2,281.9,413,EtOAc
OC1c2ccccc2C=Cc2c1cccc2,279.7,423,EtOAc
c1ccc(cc1)C1=Cc2c(C1)cccc2,298.8,380,EtOAc
O=c1c2ccccc2sc2c1cccc2,304.4,635,EtOAc
O=c1c2ccccc2oc2c1cccc2,299,633,EtOAc
O=C(C(=O)c1ccccc1)c1ccccc1,357.1,484,EtOAc
CCC(c1ccc2c(c1)c(=O)c1c(o2)cccc1)(C)C,298.4,642,EtOAc
CCC(c1c2c(ccc1C(CC)(C)C)oc1c(c2=O)cccc1)(C)C,308,654,EtOAc
O=c1oc2ccccc2cc1C(=O)c1ccccc1,309.5,414,EtOAc
COC(=O)c1ccccc1C(=O)OC,245.8,305,EtOAc
COC(=O)c1cc(ccc1C(=O)OC)C(=O)OC,252.5,311,EtOAc
c1ccc2c(c1)oc1c2cccc1,262.8,393,EtOAc
Clc1ccccc1c1ccccc1,241.9,356,EtOAc
[O-]C(=O)Cc1ccccc1c1ccccc1,NaN,371,EtOAc
Brc1ccc(cc1)c1ccc(cc1)Br,256.7,399,EtOAc
Brc1ccc2c(c1)Cc1c2ccc(c1)Br,273.3,411,EtOAc
c1ccc(cc1)C#Cc1ccccc1,241.4,406,EtOAc
c1ccc2c(n1)c1ncccc1cc2,286,440,EtOAc
c1ccc2c(c1)cnc1c2cccc1,288.6,462,EtOAc
Brc1ccccc1c1ccc(cc1)c1ccccc1,254.2,466,EtOAc
CCOC(=O)c1ccc2c(c1)cccc2,292.8,425,EtOAc
N#Cc1cc2ccccc2c2c1cccc2,300.3,489,EtOAc
CCOC(=O)c1cccc2c1cccc2,296.1,443,EtOAc
N#Cc1cccc2c1cccc2,293.5,443,EtOAc
c1ccc(cc1)c1ncc(o1)c1ccccc1,292.6,493,EtOAc
c1ccc2c(c1)c1cccc3c1c2ccc3,336.6,394,EtOAc
Cc1cc(C)c(c(c1)C)Nc1c(cc2c3c1cccc3c(=O)n(c2=O)c1c(C)cc(cc1C)C)[N+](=O)[O-],348.2,442,NaN
CC(c1cccc(c1Nc1c2cccc3c2c(cc1[N+](=O)[O-])c(=O)n(c3=O)c1c(cccc1C(C)C)C(C)C)C(C)C)C,346.6,441,NaN
CNc1c2cccc3c2c(cc1[N+](=O)[O-])c(=O)n(c3=O)C,342.6,441,NaN
[O-][N+](=O)c1cc2c3c(c1NC(C)(C)C)cccc3c(=O)n(c2=O)C(C)(C)C,347.4,387,NaN
N#CCC#N,NaN,380,NaN
O=c1cc[nH]c2c1cccc2,289.6,290,Dimethylsulfoxide
O=C1CC=NC=C1,NaN,313,Dimethylsulfoxide
CCOC(=O)c1c[nH]c2c(c1=O)cc(cc2[N+](=O)[O-])F,331.3,268,Dimethylsulfoxide
Brc1nc2cscc2nc1Br,331,360,NaN
CCCCCCC(=O)N,NaN,531,NaN
OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)N1CNc2c1[nH]cnc2=O,276.6,561,NaN
N#CC(=Cc1ccc(s1)c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)C(=O)O,413.6,385,NaN
Cc1cc(sc1c1ccc(s1)c1sc(cc1C)C=C(C(=O)O)C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1,397.1,381,NaN
OCCC(=C(N(Cc1cnc(nc1N)C)C=O)C)SSCCC,256.3,475,NaN
NC1NC(N)C2C(N1)CC[C@@H](C2)CN1CCC2C1CCCC2,NaN,370,NaN
Cc1ccc(cc1)C(C)(C)C,235.5,370,NaN
CC(c1ccc(cc1)N)C,259.3,2000,NaN
CN(CCn1c(=O)c2c(c1=O)c1c(c(c2)C)[nH]c2c1cc(O)cc2C)C,343.1,254,NaN
c1ccc(cc1)C(=C(c1ccccc1)c1ccccc1)c1ccccc1,298.4,299,NaN
CN1[C@@H]2CC[C@H]1CC(=O)C2,NaN,349,NaN
COc1nc(nc(n1)C)NC(=O)NS(=O)(=O)c1ccsc1C(=O)OC,249.3,930,NaN
CO[C@@H]1[C@H](O)[C@H](O[C@H]1n1ccc(nc1=O)N)COP(=O)(O)O,241.3,471.2,NaN
O=C1CC=C2C(=C1)Oc1c(C2)c2Cc2cc1,313.6,0,NaN
Oc1ccc(c2c1C(=O)c1c(C2=O)c(O)ccc1N)NC(=O)c1ccccc1,453,240,NaN
N[C@@H]1CC(C)(C)Cc2c1nc(o2)c1ccccc1,265.4,254,NaN
C[C@H](CNc1ncnc2c1c(c1ccccc1)c([nH]2)c1ccccc1)O,286.5,460,DMF
OC[C@@H](CNc1ncnc2c1c(c1ccccc1)c([nH]2)c1ccccc1)O,284.8,470,THF
COC(=O)c1c(C(=O)OC)c2n(c1C)nc(cc2)C,336,380.4,cyclohexane
COC(=O)c1c(C(=O)OC)c2n(c1CC)nc(cc2)c1ccccc1,338.6,386,cyclohexane
COc1cc(OC)cc2c1cc(c1ccccc1)c(=O)o2,301.7,348,chloroform
COc1ccc2c(c1)oc(=O)c(c2)c1cscc1,304.6,372,chloroform
N=C1Cc2ccccc2OC1=O,282.8,366,chloroform
N=C1C(=O)Oc2c(C1=N)cccc2,NaN,374,chloroform
CCN(c1ccc2c(c1)[o+]c1c(c2c2ccccc2C(=O)O)ccc(c1)N(CC)CC)CC.[Cl-],NaN,544.5,EtOH
SCCC(=O)Nc1ccc2c(c1)c(ncn2)Nc1ccccc1,307.5,545,EtOH
O=C1c2ccccc2c2c3c1cccc3ccc2,338.5,930,NaN
[C-]#N,NaN,254,NaN
CC(C1(C)N=C(NC1=O)c1nc2ccccc2cc1C(=O)O)C,288.5,930,NaN
c1ccc(cc1)B1C=CC(C1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,274,560,NaN
OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1OC1(C)N=NN(C1)[C@H](C(=O)O)Cc1ccccc1)OC1(C)N=NN(C1)[C@H](C(=O)O)Cc1ccccc1)O)c1cc(OC)c2c(c1OC)cccc2,NaN,211,NaN
c1ccc2=Cc3c(=c2c1)ccc1=NN=Nc31.O=c1ccc2c(o1)cccc2,NaN,254,NaN
N#CC(=C(c1ccccc1)C=Cc1cc2c3ccccc3n(c2cc1OC)C)C#N,356.9,476,DMSO
N#CC(=Cc1cc2c(cc1OC)n(c1c2cccc1)C)c1nc2c(s1)cccc2,344,443,DMSO
S=C=S,NaN,419,DCM
COc1ccc2c(c1c1c(OC)ccc3c1ccc(c3)C(C)(C)C)ccc(c2)C(C)(C)C,301.9,342,CH 2 Cl 2 + 0.2 mmol l − 1 Bu 4 NBF
c1cc2cccc3c2c(c1)c1cccc2c1c3ccc2,387.6,450,CH 2 Cl 2 + 0.2 mmol l − 1 Bu 4 NBF
O=C(Cc1cccc2c1cccc2)NC1CC(C)(C)NC(C1)(C)C,290.5,160,NaN
CC[NH+](CCON=C(c1ccc(cc1)C)C)CC.[Cl-],NaN,370,NaN
