Unnamed: 0,Unnamed: 1,rate of thermal isomerisation from Z-E in s-1,Solvent used for thermal isomerisation rates,Z PhotoStationaryState,E PhotoStationaryState,E isomer pi-pi* wavelength in nm,Extinction,E isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1,Z isomer pi-pi* wavelength in nm,Extinction.1,Z isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1.1,Wiberg index,E-Z irradiation wavelength in nm,Z-E irradiation wavelength,Irradiation solvent
F4,FC1=CC=CC(F)=C1/N=N/C2=C(F)C=CC=C2F,2.092836e-06,MeCN at 60C,86.0,91.0,305.0,18000.0,456.0,1000.0,,,414.0,1600.0,,>500,410,MeCN
F6,FC1=CC(F)=CC(F)=C1/N=N/C(C(F)=C2)=C(F)C=C2F,9.6e-06,MeCN at 60C,94.0,91.0,309.0,20000.0,450.0,900.0,,,414.0,1500.0,,>500,410,MeCN
F8,FC1=C(F)C=C(F)C(F)=C1/N=N/C2=C(F)C(F)=CC(F)=C2F,7.13114e-06,MeCN at 60C,92.0,92.0,303.0,16000.0,456.0,700.0,,,413.0,1200.0,,>500,410,MeCN
F10,FC1=C(F)C(F)=C(F)C(F)=C1/N=N/C2=C(F)C(F)=C(F)C(F)=C2F,4.1e-05,MeCN at 60C,91.0,90.0,310.0,20000.0,453.0,900.0,,,413.0,1600.0,,>500,410,MeCN
F2-ester-2,FC1=CC=CC(F)=C1/N=N/C2=CC=C(C(OCC)=O)C=C2,9.16861e-06,MeCN at 60C,75.0,88.0,316.0,22000.0,453.0,700.0,,,417.0,1000.0,,>500,410,MeCN
F4-diester,FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=C(F)C=C(C(OCC)=O)C=C2F,1.283606e-05,MeCN at 60C,90.0,97.0,314.0,19000.0,469.0,1000.0,,,419.0,1700.0,,>500,410,MeCN
F4-ester,FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=C(F)C=CC=C2F,6.41803e-06,MeCN at 60C,95.0,95.0,310.0,19000.0,460.0,1000.0,,,416.0,1700.0,,>500,410,MeCN
F2-diester,FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=CC=C(C(OCC)=O)C=C2,2.40676e-05,MeCN at 60C,61.0,95.0,320.0,25000.0,460.0,1000.0,,,419.0,1400.0,,>500,410,MeCN
F2-ester-1,FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=CC=CC=C2,2.750584e-05,MeCN at 60C,79.0,89.0,316.0,21000.0,456.0,900.0,,,419.0,1300.0,,>500,410,MeCN
diazocine,C12=CC=CC=C1CCC3=CC=CC=C3/N=N\2,4.27869e-05,hexane,100.0,92.0,,,500.0,,,,400.0,,,520,385,hexane
2,CC(NC(C=C1)=CC(OC)=C1/N=N/C2=C(OC)C=C(NC(C)=O)C=C2)=O,0.0001013373,DMSO,,,338.0,16170.0,480.0,4030.0,,,,,,530-560,450-460,DMSO
3,CC(NC(C=C1OC)=CC(OC)=C1/N=N/C2=C(OC)C=C(NC(C)=O)C=C2OC)=O,5.73038e-07,DMSO,80.0,85.0,345.0,,490.0,,320.0,,450.0,,,530-560,450-460,DMSO
pyrOMe,COC(C=CN=C1)=C1/N=N/C2=CC=CC=C2,8.7678e-09,toluene,90.0,87.0,332.0,11535.0,443.0,609.0,,,430.0,,,365,440,toluene
pyr,C1(/N=N/C2=CC=CC=C2)=CC=CN=C1,8.44478e-07,toluene,63.0,80.0,322.0,37246.0,448.0,923.0,,,440.0,,,365,440,toluene
pyrMe,CC1=C(/N=N/C2=CC=CC=C2)C=NC=C1,1.92541e-06,toluene,72.0,83.0,322.0,14151.0,455.0,328.0,,,436.0,,,365,440,toluene
pyrisoprop,CC(C)C1=C(/N=N/C2=CC=CC=C2)C=NC=C1,6.09307e-07,toluene,75.0,75.0,323.0,14964.0,453.0,530.0,,,442.0,,,365,440,toluene
pyriodo,IC1=C(/N=N/C2=CC=CC=C2)C=NC=C1,1.67427e-06,toluene,81.0,81.0,330.0,14540.0,,,,,432.0,,,365,440,toluene
pyrNMe2,CN(C)C1=C(/N=N/C2=CC=CC=C2)C=NC=C1,6.211e-06,toluene,63.0,63.0,313.0,7580.0,404.0,5310.0,,,400.0,,,365,440,toluene
pyrimdione,O=C(N(CCC)C=C1/N=N/C2=CC=C(C(C)(C)C)C=C2)NC1=O,9.8739e-07,toluene,100.0,100.0,375.0,,450.0,,,,450.0,,,600,430,toluene
carbohydrate,O=C(COC1=C(/N=N\C2=C(OC3)C=CC=C2)C=CC=C1)O[C@H]4[C@H](OCC5=CC=CC=C5)[C@@H](OCC6=CC=CC=C6)[C@H](SC7=CC=CC=C7)O[C@@H]4COC3=O,1.573046e-07,MeCN,95.0,53.0,310.0,,460.0,,,,,,,365,435,MeCN
